ppm,exposure_time_min,replicate,R_demo,G_demo,B_demo,H_demo,S_demo,V_demo,L_demo,a_demo,b_demo,DeltaE_demo
1.0,0,0,92.91,147.88,134.25,82.1,94.78,147.88,145.0,107.0,129.0,5.2
1.0,0,1,94.82,145.15,128.09,79.39,88.41,145.15,144.0,107.0,132.0,5.0
1.0,0,2,92.38,150.05,131.95,80.14,98.0,150.05,147.0,105.0,132.0,1.41
1.0,1,0,86.97,148.25,129.34,80.29,105.4,148.25,145.0,103.0,132.0,3.16
1.0,1,1,89.73,148.99,128.41,79.14,101.43,148.99,145.0,104.0,133.0,3.16
1.0,1,2,86.95,146.72,124.13,78.22,103.87,146.72,143.0,103.0,134.0,5.48
1.0,2,0,90.79,142.45,123.66,78.65,92.49,142.45,140.0,106.0,133.0,8.31
1.0,2,1,86.11,146.27,123.75,78.33,104.88,146.27,143.0,103.0,134.0,5.48
1.0,2,2,86.87,141.55,125.81,80.92,98.51,141.55,139.0,106.0,131.0,9.27
1.0,5,0,86.99,138.92,120.95,79.17,95.32,138.92,136.0,106.0,132.0,12.17
1.0,5,1,92.32,136.47,118.12,77.1,82.49,136.47,136.0,109.0,133.0,13.04
1.0,5,2,83.46,139.53,123.04,80.73,102.48,139.53,137.0,106.0,131.0,11.22
1.0,10,0,83.69,131.09,113.41,78.37,92.21,131.09,130.0,107.0,133.0,18.28
1.0,10,1,85.98,135.84,117.51,78.53,93.6,135.84,134.0,107.0,132.0,14.32
1.0,10,2,82.03,134.31,116.23,79.18,99.25,134.31,133.0,106.0,132.0,15.13
1.0,15,0,83.58,133.81,114.31,77.92,95.72,133.81,132.0,107.0,133.0,16.31
1.0,15,1,84.96,131.4,114.51,78.65,90.12,131.4,130.0,108.0,132.0,18.44
1.0,15,2,84.82,126.82,112.68,79.46,84.46,126.82,126.0,110.0,131.0,22.83
1.0,30,0,79.64,125.19,109.03,78.91,92.79,125.19,124.0,109.0,132.0,24.52
1.0,30,1,85.53,124.51,112.76,80.5,79.82,124.51,125.0,112.0,130.0,24.43
1.0,30,2,76.0,126.1,110.34,80.11,101.32,126.1,125.0,107.0,131.0,23.22
1.0,45,0,81.74,126.91,110.07,78.38,90.76,126.91,126.0,109.0,132.0,22.56
1.0,45,1,78.93,123.39,110.26,80.69,91.87,123.39,123.0,109.0,130.0,25.57
