ppm,exposure_time_min,replicate,R_demo,G_demo,B_demo,H_demo,S_demo,V_demo,L_demo,a_demo,b_demo,DeltaE_demo,cumulative_exposure_ppm_min
5.0,0,1,92.61,151.08,130.18,158.56,0.387,0.5925,148.0,104.0,133.0,1.0,0.0
5.0,0,2,90.56,148.34,136.43,167.64,0.3895,0.5817,146.0,106.0,128.0,4.9,0.0
5.0,0,3,91.53,153.93,131.36,158.3,0.4054,0.6036,150.0,103.0,133.0,2.45,0.0
5.0,0,4,90.65,154.86,130.57,157.31,0.4147,0.6073,150.0,102.0,134.0,3.46,0.0
5.0,1,1,83.11,127.53,109.5,155.65,0.3483,0.5001,127.0,109.0,133.0,21.61,5.0
5.0,1,2,80.95,124.54,109.25,158.95,0.35,0.4884,124.0,109.0,131.0,24.54,5.0
5.0,1,3,83.56,127.03,111.13,158.05,0.3422,0.4982,127.0,109.0,132.0,21.59,5.0
5.0,1,4,81.71,128.14,109.7,156.17,0.3624,0.5025,127.0,108.0,133.0,21.4,5.0
5.0,2,1,75.04,118.07,100.45,155.43,0.3644,0.463,118.0,109.0,133.0,30.43,10.0
5.0,2,2,73.5,118.91,100.25,155.34,0.3819,0.4663,117.0,108.0,133.0,31.27,10.0
5.0,2,3,75.71,115.79,103.26,161.24,0.3461,0.4541,116.0,111.0,130.0,32.82,10.0
5.0,2,4,76.25,118.4,96.96,149.48,0.356,0.4643,118.0,108.0,135.0,30.41,10.0
5.0,5,1,67.83,102.12,84.02,148.33,0.3358,0.4005,102.0,111.0,134.0,46.57,25.0
5.0,5,2,68.8,102.4,83.61,146.45,0.3282,0.4016,103.0,111.0,135.0,45.64,25.0
5.0,5,3,71.27,101.37,84.65,146.67,0.2969,0.3975,102.0,113.0,134.0,46.91,25.0
5.0,5,4,68.9,103.72,84.6,147.06,0.3358,0.4068,103.0,111.0,135.0,45.64,25.0
5.0,10,1,64.11,91.51,80.56,156.01,0.2995,0.3589,92.0,116.0,131.0,57.28,50.0
5.0,10,2,66.17,88.74,76.57,147.66,0.2543,0.348,90.0,117.0,132.0,59.44,50.0
5.0,10,3,64.43,90.51,76.07,146.77,0.2881,0.3549,91.0,115.0,133.0,58.06,50.0
5.0,10,4,60.43,92.59,74.72,146.66,0.3474,0.3631,92.0,112.0,135.0,56.65,50.0
5.0,15,1,63.38,81.83,70.89,144.41,0.2254,0.3209,83.0,118.0,132.0,66.49,75.0
5.0,15,2,62.07,79.49,64.61,128.75,0.2192,0.3117,81.0,118.0,135.0,68.51,75.0
